Mismatch at pos (163, 1309) cpu: 5.72024e-05 gpu: 5.72058e-05
Mismatch at pos (164, 1309) cpu: 6.63439e-05 gpu: 6.63484e-05
Mismatch at pos (166, 1309) cpu: 8.38799e-05 gpu: 8.38864e-05
Mismatch at pos (168, 1309) cpu: 0.000100212 gpu: 0.000100219
Mismatch at pos (169, 2618) cpu: -0.000215728 gpu: -0.000215719
Mismatch at pos (170, 1309) cpu: 0.000115103 gpu: 0.00011511
Mismatch at pos (171, 2618) cpu: -0.000243913 gpu: -0.000243897
Mismatch at pos (172, 1309) cpu: 0.000128338 gpu: 0.000128347
Mismatch at pos (173, 2618) cpu: -0.000268587 gpu: -0.000268569
Mismatch at pos (174, 2618) cpu: -0.000279492 gpu: -0.000279477
Mismatch at pos (175, 2618) cpu: -0.000289392 gpu: -0.000289377
Mismatch at pos (176, 2618) cpu: -0.000298255 gpu: -0.000298238
Mismatch at pos (177, 2618) cpu: -0.00030604 gpu: -0.000306021
Mismatch at pos (178, 1309) cpu: 0.000156342 gpu: 0.000156353
Mismatch at pos (178, 2618) cpu: -0.000312724 gpu: -0.000312709
Mismatch at pos (180, 1309) cpu: 0.000161329 gpu: 0.000161344
Mismatch at pos (181, 1309) cpu: 0.000162967 gpu: 0.000162982
Mismatch at pos (182, 1309) cpu: 0.000163997 gpu: 0.000164013
Mismatch at pos (183, 1309) cpu: 0.000164454 gpu: 0.000164471
Mismatch at pos (184, 1309) cpu: 0.000164307 gpu: 0.000164321
Mismatch at pos (185, 1309) cpu: 0.000163579 gpu: 0.000163595
Mismatch at pos (186, 1309) cpu: 0.000162254 gpu: 0.000162266
Mismatch at pos (187, 1309) cpu: 0.00016035 gpu: 0.000160365
Mismatch at pos (187, 3927) cpu: 0.000481077 gpu: 0.00048106
Mismatch at pos (188, 1309) cpu: 0.000157865 gpu: 0.000157876
Mismatch at pos (189, 1309) cpu: 0.000154816 gpu: 0.00015483
Mismatch at pos (191, 1309) cpu: 0.000147052 gpu: 0.000147065
Mismatch at pos (197, 1309) cpu: 0.000111672 gpu: 0.00011168
Mismatch at pos (199, 1309) cpu: 9.64097e-05 gpu: 9.64195e-05
Mismatch at pos (199, 2618) cpu: -0.000192844 gpu: -0.000192834
Mismatch at pos (201, 1309) cpu: 7.97676e-05 gpu: 7.97741e-05
Mismatch at pos (201, 2618) cpu: -0.000159551 gpu: -0.000159543
Mismatch at pos (204, 2618) cpu: -0.000105469 gpu: -0.000105465
Mismatch at pos (205, 1309) cpu: 4.32944e-05 gpu: 4.32967e-05
Mismatch at pos (208, 1309) cpu: 1.41879e-05 gpu: 1.41891e-05
Mismatch at pos (208, 2618) cpu: -2.83775e-05 gpu: -2.83766e-05
Mismatch at pos (209, 576) cpu: 5.858e-05 gpu: 5.85831e-05
